,artist_name,track_name,track_id,popularity,explicit,year_song,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
534,Dominic Fike,Phone Numbers,3f9Mzvd3URfbbIJBX4pz9Z,75,True,2019,0.239,0.884,146827,0.539,0.0,1,0.0805,-6.389,0,0.208,85.008,4,0.776
535,Khalid,Free Spirit,2kAIpGWnlFLQh48iut6Zzq,74,False,2019,0.308,0.627,182080,0.446,0.00077,2,0.111,-9.477,0,0.0332,139.994,4,0.11
536,Blake Shelton,Hell Right (feat. Trace Adkins),3y8xKFhQWc8DARB3fuGMGA,70,False,2019,0.0915,0.551,207480,0.821,4.03e-06,7,0.155,-6.16,1,0.0453,75.979,4,0.519
537,Quinn XCII,Stacy,1pyGo7knT3LE2I1FJIrwdX,71,False,2019,0.0889,0.761,168893,0.551,0.0,8,0.0971,-7.14,1,0.037,104.935,4,0.478
538,Rod Wave,Green Light,0by8c0tvXiwBHKkCpsvLNt,69,True,2019,0.0663,0.872,121522,0.434,0.0,1,0.096,-11.737,1,0.733,82.974,4,0.292
539,Kanye West,Use This Gospel,0oPOuDmmkVp3h6puekhs6P,73,False,2019,0.614,0.611,213878,0.459,0.0,0,0.126,-3.926,0,0.0422,148.28,4,0.177
540,Maluma,HP,1LIqNVhaIgxXUt2eVoIQJ3,82,True,2019,0.252,0.837,184436,0.791,1.14e-06,4,0.188,-3.157,0,0.0773,91.98,4,0.618
541,Halsey,SUGA's Interlude,5a0nHa7F4S9hb0Zi0zLS8w,78,False,2019,0.0864,0.55,138205,0.732,0.0,0,0.0425,-6.88,1,0.105,153.836,4,0.246
542,Luh Kel,Pull Up,6LkQuRo91zYjI8dm1iOL2C,73,False,2019,0.0957,0.803,123400,0.569,0.0,1,0.0976,-6.366,1,0.0705,95.009,4,0.26
543,Kanye West,Everything We Need,24bnCCysWnbNRNUT4LpHcP,73,False,2019,0.312,0.894,116560,0.416,0.0,9,0.146,-6.823,0,0.0538,116.96,4,0.463
544,Kanye West,Selah,39JRmdKFka1Oe09FoOCPI4,74,False,2019,0.647,0.482,164620,0.618,0.000859,9,0.32,-5.673,0,0.197,90.076,3,0.146
545,The Head and the Heart,Honeybee,5CalS8Gn69OOrR9aiw0ZO9,70,False,2019,0.118,0.642,196055,0.52,0.000512,9,0.552,-7.886,1,0.0387,136.014,4,0.488
546,Taylor Swift,Paper Rings,4y5bvROuBDPr5fuwXbIBZR,74,False,2019,0.0129,0.811,222400,0.719,1.36e-05,9,0.0742,-6.553,1,0.0497,103.979,4,0.865
547,Natti Natasha,La Mejor Versión de Mi - Remix,2dy3TKVDEbIeWxeIb8JWqZ,80,False,2019,0.732,0.735,229333,0.712,0.0,11,0.302,-5.119,0,0.0326,131.938,4,0.894
548,YNW Melly,No Heart,0rhxoXFMKRtm1dQJfi72Yh,70,True,2019,0.505,0.76,221419,0.568,0.0,9,0.107,-3.92,1,0.0558,77.482,4,0.414
549,Tiny Meat Gang,Walk Man,1xFfbxmfenEpn4WawGWXiA,73,True,2019,0.331,0.928,165938,0.696,0.000119,4,0.121,-4.972,0,0.0866,94.994,4,0.396
